top,bottom,shoes,occasion,weather_condition,temp_c,mood,score,label
Hoodie,Jeans,Heels,Wedding,Clear,33.4,Professional,0.1,0
Blouse,Skirt,Boots,Wedding,Clear,30.1,Relaxed,1.0,1
T-Shirt,Shorts,Heels,Party,Cloudy,6.0,Relaxed,0.55,1
Dress,Jeans,Boots,Date,Clear,38.3,Relaxed,0.7,1
T-Shirt,Shorts,Casual Shoes,Party,Clear,35.8,Relaxed,0.65,1
Dress,Pants,Sports Shoes,Office,Cloudy,21.4,Romantic,0.5,0
T-Shirt,Jeans,Casual Shoes,Date,Snow,15.5,Romantic,0.7,1
T-Shirt,Shorts,Boots,Date,Snow,15.1,Happy,0.45,0
Jacket,Jeans,Sports Shoes,Office,Clear,28.0,Happy,0.05,0
Jacket,Jeans,Boots,Casual,Snow,5.1,Romantic,1.0,1
Shirt,Shorts,Boots,Party,Rainy,25.9,Romantic,0.4,0
Shirt,Shorts,Casual Shoes,Party,Clear,20.6,Romantic,0.55,1
Coat,Jeans,Heels,Wedding,Cloudy,11.0,Relaxed,0.95,1
Dress,Shorts,Sandals,Casual,Rainy,30.6,Happy,0.7,1
Coat,Pants,Heels,Party,Snow,17.8,Romantic,0.9,1
Coat,Skirt,Casual Shoes,Date,Sunny,33.4,Bold,0.35,0
T-Shirt,Skirt,Heels,Party,Snow,36.0,Professional,0.7,1
Jacket,Jeans,Boots,Office,Sunny,21.9,Happy,0.4,0
Dress,Skirt,Sandals,Casual,Snow,25.5,Professional,0.35,0
Coat,Jeans,Casual Shoes,Casual,Snow,8.7,Happy,1.0,1
Hoodie,Pants,Heels,Office,Clear,23.1,Romantic,0.3,0
Blouse,Pants,Heels,Wedding,Snow,21.8,Bold,1.0,1
T-Shirt,Skirt,Sandals,Date,Sunny,38.0,Romantic,0.8,1
Dress,Pants,Boots,Party,Rainy,9.6,Professional,0.75,1
Jacket,Pants,Boots,Office,Clear,32.6,Romantic,0.6,1
Sweater,Pants,Boots,Wedding,Cloudy,27.4,Bold,0.95,1
Jacket,Skirt,Sports Shoes,Party,Sunny,39.0,Happy,0.35,0
Jacket,Shorts,Sports Shoes,Wedding,Rainy,9.5,Happy,0.0,0
Hoodie,Pants,Boots,Wedding,Sunny,19.1,Bold,0.3,0
Dress,Skirt,Sandals,Party,Clear,36.2,Professional,0.7,1
Sweater,Skirt,Casual Shoes,Office,Rainy,9.3,Happy,0.9,1
Blouse,Jeans,Casual Shoes,Casual,Rainy,19.5,Romantic,0.75,1
Shirt,Shorts,Casual Shoes,Wedding,Snow,8.4,Happy,0.15,0
Coat,Jeans,Sandals,Party,Clear,31.2,Relaxed,0.35,0
T-Shirt,Pants,Sandals,Office,Clear,15.5,Professional,0.6,1
Coat,Skirt,Sandals,Office,Rainy,38.5,Romantic,0.6,1
Sweater,Skirt,Sports Shoes,Wedding,Cloudy,36.8,Professional,0.1,0
T-Shirt,Jeans,Boots,Casual,Cloudy,20.1,Romantic,0.85,1
Sweater,Jeans,Sports Shoes,Date,Cloudy,25.2,Relaxed,0.5,0
Hoodie,Jeans,Sports Shoes,Office,Cloudy,29.8,Bold,0.0,0
Sweater,Shorts,Sandals,Casual,Snow,21.8,Relaxed,0.75,1
Hoodie,Jeans,Sandals,Party,Cloudy,8.3,Romantic,0.65,1
Hoodie,Skirt,Casual Shoes,Date,Sunny,22.1,Happy,0.25,0
Jacket,Skirt,Casual Shoes,Date,Cloudy,18.0,Bold,0.6,1
Dress,Skirt,Boots,Date,Clear,16.8,Relaxed,0.7,1
Dress,Shorts,Sports Shoes,Party,Clear,17.4,Happy,0.85,1
Jacket,Pants,Sports Shoes,Office,Cloudy,27.7,Relaxed,0.4,0
Jacket,Skirt,Sports Shoes,Office,Sunny,19.4,Professional,0.35,0
Blouse,Jeans,Casual Shoes,Date,Cloudy,25.9,Romantic,0.8,1
Blouse,Skirt,Casual Shoes,Office,Cloudy,21.1,Relaxed,0.85,1
Shirt,Pants,Sports Shoes,Casual,Sunny,24.6,Professional,0.5,0
Sweater,Jeans,Heels,Office,Clear,23.3,Professional,0.5,0
Blouse,Skirt,Boots,Party,Cloudy,32.0,Bold,0.65,1
Shirt,Pants,Casual Shoes,Wedding,Cloudy,20.4,Professional,1.0,1
Hoodie,Skirt,Boots,Office,Rainy,13.0,Romantic,0.9,1
T-Shirt,Pants,Casual Shoes,Date,Sunny,37.5,Happy,0.5,0
Hoodie,Shorts,Heels,Casual,Rainy,14.3,Bold,0.85,1
Blouse,Shorts,Boots,Date,Clear,11.4,Romantic,0.85,1
Coat,Shorts,Heels,Party,Snow,10.8,Happy,0.75,1
Blouse,Skirt,Casual Shoes,Office,Sunny,10.0,Bold,0.95,1
Jacket,Jeans,Sports Shoes,Party,Rainy,11.5,Romantic,0.7,1
T-Shirt,Jeans,Boots,Office,Rainy,16.7,Bold,0.5,0
Shirt,Skirt,Sandals,Office,Snow,15.0,Relaxed,0.7,1
T-Shirt,Jeans,Casual Shoes,Casual,Cloudy,34.1,Romantic,0.95,1
Hoodie,Pants,Boots,Wedding,Cloudy,31.5,Professional,0.3,0
Hoodie,Pants,Sports Shoes,Wedding,Sunny,31.8,Relaxed,0.0,0
Dress,Shorts,Boots,Date,Snow,33.7,Relaxed,0.75,1
Hoodie,Shorts,Heels,Office,Cloudy,13.3,Happy,0.0,0
Coat,Shorts,Heels,Casual,Clear,14.8,Bold,0.5,0
Jacket,Skirt,Sandals,Party,Clear,33.5,Professional,0.25,0
Dress,Pants,Casual Shoes,Party,Rainy,29.5,Relaxed,0.7,1
Sweater,Jeans,Sports Shoes,Date,Sunny,21.2,Relaxed,0.25,0
Shirt,Jeans,Sports Shoes,Party,Snow,8.2,Romantic,0.5,0
T-Shirt,Pants,Boots,Casual,Clear,39.3,Romantic,0.7,1
Shirt,Skirt,Boots,Office,Rainy,38.8,Relaxed,1.0,1
Blouse,Skirt,Heels,Office,Sunny,24.1,Professional,1.0,1
Hoodie,Skirt,Boots,Party,Cloudy,28.5,Romantic,0.35,0
Blouse,Pants,Sandals,Date,Rainy,16.1,Relaxed,0.45,0
Blouse,Pants,Sports Shoes,Casual,Rainy,37.1,Happy,0.7,1
Dress,Skirt,Boots,Date,Rainy,21.4,Relaxed,0.85,1
Shirt,Skirt,Casual Shoes,Date,Cloudy,12.0,Relaxed,0.6,1
Blouse,Shorts,Heels,Office,Sunny,22.2,Relaxed,0.55,1
Jacket,Pants,Casual Shoes,Date,Snow,19.0,Romantic,0.9,1
Hoodie,Jeans,Sports Shoes,Casual,Cloudy,16.5,Romantic,0.95,1
Shirt,Pants,Heels,Wedding,Clear,38.1,Bold,1.0,1
Jacket,Jeans,Casual Shoes,Office,Cloudy,14.5,Happy,0.7,1
Coat,Jeans,Heels,Date,Clear,31.5,Happy,0.4,0
Dress,Jeans,Sports Shoes,Date,Rainy,11.1,Bold,0.8,1
Blouse,Pants,Sandals,Casual,Cloudy,11.0,Relaxed,0.6,1
Hoodie,Pants,Sandals,Party,Sunny,22.0,Romantic,0.45,0
T-Shirt,Jeans,Sandals,Casual,Sunny,8.9,Professional,0.8,1
Shirt,Jeans,Casual Shoes,Wedding,Snow,5.7,Happy,0.8,1
Hoodie,Jeans,Sports Shoes,Office,Clear,15.5,Happy,0.0,0
Hoodie,Skirt,Casual Shoes,Party,Sunny,24.3,Relaxed,0.35,0
Jacket,Skirt,Boots,Date,Sunny,7.9,Relaxed,0.6,1
Shirt,Skirt,Sandals,Wedding,Sunny,35.3,Happy,1.0,1
T-Shirt,Pants,Casual Shoes,Casual,Cloudy,5.3,Relaxed,0.95,1
Dress,Jeans,Boots,Office,Rainy,30.6,Professional,0.9,1
Dress,Skirt,Heels,Wedding,Rainy,23.8,Happy,0.95,1
Dress,Skirt,Sports Shoes,Wedding,Cloudy,37.5,Happy,0.35,0
Sweater,Pants,Heels,Wedding,Rainy,5.4,Relaxed,1.0,1
Dress,Pants,Boots,Wedding,Snow,18.8,Professional,1.0,1
Shirt,Pants,Heels,Party,Clear,29.7,Romantic,0.7,1
Blouse,Jeans,Casual Shoes,Wedding,Rainy,29.5,Relaxed,0.8,1
Hoodie,Jeans,Sandals,Casual,Cloudy,15.8,Relaxed,1.0,1
Dress,Pants,Sandals,Office,Cloudy,5.9,Professional,0.65,1
Jacket,Shorts,Casual Shoes,Casual,Rainy,28.3,Romantic,0.6,1
Dress,Jeans,Heels,Office,Clear,29.5,Professional,0.75,1
Jacket,Pants,Boots,Casual,Sunny,13.7,Professional,0.5,0
Blouse,Shorts,Sports Shoes,Office,Cloudy,18.6,Romantic,0.2,0
Blouse,Shorts,Casual Shoes,Casual,Clear,7.3,Relaxed,0.8,1
Blouse,Pants,Sports Shoes,Party,Cloudy,16.0,Relaxed,0.5,0
Sweater,Pants,Boots,Office,Rainy,18.0,Bold,1.0,1
Sweater,Jeans,Casual Shoes,Casual,Sunny,34.0,Professional,0.4,0
Sweater,Skirt,Sandals,Party,Cloudy,25.3,Professional,0.4,0
Coat,Shorts,Sports Shoes,Party,Clear,6.2,Relaxed,0.3,0
Sweater,Shorts,Boots,Date,Cloudy,20.2,Happy,0.5,0
Jacket,Jeans,Sports Shoes,Wedding,Clear,32.6,Romantic,0.05,0
Dress,Pants,Heels,Party,Rainy,28.5,Professional,0.8,1
T-Shirt,Pants,Sports Shoes,Casual,Rainy,26.5,Happy,0.9,1
Sweater,Pants,Heels,Office,Rainy,10.3,Relaxed,0.95,1
T-Shirt,Pants,Boots,Date,Rainy,6.4,Professional,0.65,1
Coat,Pants,Boots,Date,Rainy,7.3,Relaxed,0.85,1
Hoodie,Skirt,Boots,Wedding,Snow,33.7,Romantic,0.8,1
Coat,Pants,Casual Shoes,Casual,Cloudy,24.9,Happy,0.7,1
Jacket,Shorts,Heels,Wedding,Sunny,19.0,Romantic,0.3,0
Sweater,Pants,Sports Shoes,Wedding,Snow,25.1,Bold,0.55,1
Blouse,Skirt,Sports Shoes,Casual,Snow,26.7,Relaxed,0.75,1
Blouse,Pants,Sports Shoes,Date,Clear,22.8,Bold,0.7,1
Dress,Shorts,Casual Shoes,Wedding,Cloudy,18.2,Happy,0.05,0
Coat,Shorts,Casual Shoes,Wedding,Cloudy,8.5,Relaxed,0.05,0
Coat,Jeans,Heels,Wedding,Cloudy,38.5,Romantic,0.65,1
Coat,Skirt,Casual Shoes,Wedding,Cloudy,24.2,Romantic,0.85,1
Jacket,Jeans,Casual Shoes,Party,Sunny,35.0,Relaxed,0.25,0
Dress,Skirt,Casual Shoes,Wedding,Cloudy,9.7,Romantic,0.85,1
Hoodie,Pants,Boots,Party,Sunny,32.6,Romantic,0.35,0
Sweater,Pants,Casual Shoes,Casual,Snow,24.2,Professional,0.7,1
T-Shirt,Skirt,Sports Shoes,Wedding,Rainy,36.7,Relaxed,0.0,0
Coat,Shorts,Sandals,Office,Clear,9.3,Professional,0.05,0
Sweater,Skirt,Sandals,Casual,Clear,26.0,Bold,0.45,0
Sweater,Shorts,Sandals,Wedding,Sunny,37.5,Professional,0.0,0
Dress,Pants,Heels,Office,Snow,33.3,Relaxed,0.75,1
Shirt,Shorts,Sandals,Casual,Rainy,7.4,Bold,0.4,0
Jacket,Skirt,Sports Shoes,Casual,Sunny,19.5,Happy,0.45,0
Blouse,Shorts,Sandals,Date,Rainy,13.9,Relaxed,0.25,0
Hoodie,Shorts,Boots,Date,Snow,23.4,Happy,0.65,1
Sweater,Skirt,Sandals,Wedding,Cloudy,19.9,Professional,0.7,1
Coat,Jeans,Casual Shoes,Wedding,Snow,10.6,Bold,0.7,1
Jacket,Skirt,Sandals,Office,Sunny,28.6,Relaxed,0.45,0
Shirt,Shorts,Heels,Wedding,Rainy,35.2,Bold,0.5,0
Hoodie,Pants,Casual Shoes,Office,Sunny,18.5,Romantic,0.15,0
Coat,Skirt,Boots,Casual,Snow,9.8,Professional,0.75,1
Jacket,Skirt,Heels,Date,Sunny,36.0,Professional,0.4,0
Sweater,Pants,Casual Shoes,Wedding,Sunny,33.7,Professional,0.45,0
Dress,Pants,Casual Shoes,Party,Sunny,39.9,Romantic,0.7,1
Sweater,Skirt,Casual Shoes,Party,Cloudy,6.5,Relaxed,0.7,1
Dress,Skirt,Sandals,Date,Clear,19.1,Bold,0.9,1
Hoodie,Jeans,Heels,Wedding,Clear,38.2,Bold,0.1,0
Coat,Jeans,Casual Shoes,Casual,Rainy,31.4,Bold,0.7,1
Coat,Skirt,Boots,Date,Sunny,13.4,Relaxed,0.6,1
Hoodie,Shorts,Casual Shoes,Wedding,Clear,8.9,Happy,0.0,0
Blouse,Jeans,Boots,Office,Clear,23.1,Bold,0.9,1
Coat,Jeans,Sports Shoes,Party,Sunny,35.0,Relaxed,0.25,0
Hoodie,Skirt,Casual Shoes,Date,Clear,39.5,Bold,0.35,0
Hoodie,Pants,Sports Shoes,Office,Clear,12.8,Romantic,0.15,0
Coat,Jeans,Casual Shoes,Date,Clear,26.5,Romantic,0.45,0
Shirt,Shorts,Heels,Date,Sunny,19.5,Happy,0.85,1
Dress,Pants,Sports Shoes,Wedding,Sunny,16.7,Romantic,0.5,0
Jacket,Pants,Sandals,Wedding,Snow,22.0,Relaxed,0.75,1
Coat,Skirt,Sports Shoes,Date,Snow,20.0,Professional,0.7,1
Blouse,Pants,Heels,Party,Clear,10.4,Romantic,0.7,1
Sweater,Shorts,Boots,Date,Rainy,38.4,Professional,0.5,0
Dress,Jeans,Boots,Party,Sunny,22.4,Professional,0.6,1
Shirt,Pants,Boots,Date,Snow,37.2,Relaxed,0.75,1
Blouse,Pants,Heels,Wedding,Rainy,15.1,Relaxed,1.0,1
Shirt,Pants,Heels,Date,Snow,36.5,Bold,0.85,1
T-Shirt,Pants,Casual Shoes,Wedding,Cloudy,25.4,Relaxed,0.3,0
T-Shirt,Jeans,Sandals,Date,Sunny,18.2,Romantic,0.8,1
Jacket,Pants,Casual Shoes,Office,Rainy,8.9,Happy,0.9,1
Shirt,Jeans,Heels,Wedding,Sunny,11.9,Romantic,1.0,1
Hoodie,Skirt,Heels,Party,Sunny,33.4,Professional,0.45,0
Dress,Shorts,Boots,Casual,Cloudy,20.3,Happy,0.75,1
Coat,Shorts,Casual Shoes,Party,Sunny,16.2,Bold,0.45,0
Blouse,Jeans,Casual Shoes,Party,Cloudy,9.4,Relaxed,0.5,0
T-Shirt,Jeans,Sandals,Date,Snow,29.8,Relaxed,0.45,0
T-Shirt,Skirt,Boots,Wedding,Sunny,34.0,Relaxed,0.55,1
Jacket,Jeans,Casual Shoes,Wedding,Snow,34.6,Romantic,0.6,1
Hoodie,Jeans,Sports Shoes,Party,Sunny,23.7,Romantic,0.35,0
Coat,Skirt,Casual Shoes,Wedding,Snow,38.5,Relaxed,0.65,1
Sweater,Shorts,Casual Shoes,Party,Rainy,13.9,Professional,0.35,0
Blouse,Skirt,Heels,Party,Sunny,18.4,Relaxed,0.7,1
Sweater,Shorts,Sandals,Casual,Cloudy,25.2,Romantic,0.75,1
Jacket,Shorts,Casual Shoes,Office,Rainy,19.9,Romantic,0.15,0
T-Shirt,Skirt,Sports Shoes,Casual,Snow,39.9,Bold,0.8,1
Dress,Jeans,Casual Shoes,Party,Cloudy,6.9,Romantic,0.7,1
Sweater,Shorts,Boots,Date,Clear,21.8,Bold,0.45,0
Jacket,Skirt,Sandals,Casual,Snow,29.8,Happy,0.6,1
Blouse,Skirt,Boots,Office,Snow,8.1,Relaxed,1.0,1
T-Shirt,Shorts,Casual Shoes,Date,Sunny,23.3,Professional,0.6,1
T-Shirt,Pants,Casual Shoes,Office,Cloudy,18.9,Professional,0.5,0
Coat,Pants,Sandals,Wedding,Cloudy,27.7,Romantic,0.85,1
Blouse,Skirt,Casual Shoes,Date,Snow,16.4,Romantic,0.8,1
Blouse,Shorts,Sports Shoes,Wedding,Sunny,32.4,Romantic,0.25,0
Dress,Skirt,Casual Shoes,Party,Cloudy,37.4,Bold,0.85,1
Jacket,Shorts,Boots,Casual,Sunny,10.3,Romantic,0.65,1
Sweater,Shorts,Heels,Wedding,Sunny,35.9,Relaxed,0.15,0
Coat,Pants,Boots,Casual,Clear,7.7,Happy,0.7,1
Jacket,Pants,Sports Shoes,Wedding,Rainy,7.4,Bold,0.55,1
Jacket,Pants,Sandals,Office,Cloudy,37.2,Romantic,0.55,0
Blouse,Pants,Sandals,Office,Sunny,35.1,Professional,1.0,1
Dress,Shorts,Boots,Casual,Snow,37.8,Bold,0.7,1
Sweater,Shorts,Casual Shoes,Office,Snow,5.0,Bold,0.15,0
T-Shirt,Pants,Sports Shoes,Date,Snow,14.7,Happy,0.5,0
Sweater,Shorts,Heels,Wedding,Cloudy,18.5,Professional,0.3,0
T-Shirt,Jeans,Casual Shoes,Party,Rainy,34.6,Bold,0.75,1
Hoodie,Skirt,Sandals,Date,Sunny,30.9,Relaxed,0.35,0
Jacket,Pants,Sandals,Office,Rainy,16.0,Relaxed,0.65,1
Sweater,Pants,Sports Shoes,Wedding,Cloudy,31.9,Bold,0.1,0
Coat,Pants,Sports Shoes,Office,Cloudy,27.8,Bold,0.5,0
Hoodie,Pants,Boots,Party,Cloudy,35.9,Bold,0.5,0
Shirt,Pants,Boots,Party,Clear,22.8,Romantic,0.5,0
T-Shirt,Pants,Sports Shoes,Party,Sunny,14.3,Bold,0.75,1
Hoodie,Jeans,Heels,Party,Rainy,6.1,Professional,0.9,1
Blouse,Jeans,Sports Shoes,Date,Snow,25.1,Romantic,0.8,1
Hoodie,Jeans,Heels,Party,Clear,11.2,Relaxed,0.75,1
T-Shirt,Jeans,Heels,Party,Clear,32.9,Happy,0.9,1
Jacket,Pants,Casual Shoes,Party,Snow,5.4,Relaxed,0.7,1
Dress,Jeans,Boots,Wedding,Sunny,38.7,Bold,0.75,1
Shirt,Pants,Sandals,Casual,Cloudy,14.8,Professional,0.35,0
T-Shirt,Shorts,Boots,Party,Rainy,14.6,Relaxed,0.5,0
Jacket,Skirt,Heels,Office,Sunny,32.0,Relaxed,0.5,0
Jacket,Pants,Casual Shoes,Wedding,Clear,16.1,Relaxed,0.45,0
Hoodie,Jeans,Boots,Wedding,Rainy,8.5,Romantic,0.85,1
Coat,Skirt,Sandals,Office,Clear,18.8,Relaxed,0.45,0
Dress,Shorts,Boots,Party,Sunny,15.0,Relaxed,0.7,1
Hoodie,Pants,Boots,Wedding,Cloudy,36.2,Bold,0.3,0
Hoodie,Pants,Casual Shoes,Office,Sunny,7.7,Professional,0.45,0
Sweater,Shorts,Sports Shoes,Party,Cloudy,31.9,Happy,0.4,0
Jacket,Pants,Boots,Date,Cloudy,39.5,Professional,0.25,0
Coat,Pants,Casual Shoes,Wedding,Clear,18.5,Happy,0.45,0
Blouse,Pants,Boots,Date,Snow,33.3,Happy,0.75,1
T-Shirt,Skirt,Heels,Party,Clear,10.5,Bold,0.95,1
Blouse,Jeans,Heels,Office,Cloudy,24.5,Relaxed,0.8,1
Shirt,Skirt,Sports Shoes,Office,Sunny,6.2,Bold,0.75,1
Jacket,Shorts,Casual Shoes,Date,Clear,34.9,Romantic,0.55,0
T-Shirt,Skirt,Sports Shoes,Date,Cloudy,19.1,Professional,0.5,0
Coat,Pants,Sports Shoes,Casual,Clear,25.9,Relaxed,0.5,0
Jacket,Skirt,Sports Shoes,Party,Cloudy,32.8,Romantic,0.25,0
Dress,Skirt,Casual Shoes,Party,Snow,20.4,Bold,0.85,1
Dress,Skirt,Heels,Date,Snow,14.6,Happy,0.85,1
Sweater,Skirt,Sports Shoes,Wedding,Sunny,25.6,Romantic,0.25,0
T-Shirt,Jeans,Heels,Date,Cloudy,34.6,Bold,0.75,1
T-Shirt,Jeans,Casual Shoes,Date,Rainy,28.1,Happy,0.5,0
T-Shirt,Skirt,Boots,Party,Rainy,17.1,Bold,0.9,1
T-Shirt,Pants,Sandals,Date,Rainy,8.7,Professional,0.35,0
T-Shirt,Skirt,Heels,Party,Sunny,32.9,Relaxed,0.8,1
Sweater,Jeans,Casual Shoes,Party,Cloudy,32.8,Professional,0.15,0
Dress,Pants,Sandals,Wedding,Sunny,13.7,Happy,0.65,1
Jacket,Skirt,Sports Shoes,Casual,Snow,33.5,Professional,0.45,0
Coat,Jeans,Sandals,Wedding,Sunny,27.4,Relaxed,0.35,0
T-Shirt,Shorts,Sports Shoes,Wedding,Snow,37.7,Romantic,0.0,0
Coat,Jeans,Sandals,Party,Rainy,34.4,Relaxed,0.4,0
Dress,Skirt,Boots,Office,Cloudy,24.0,Relaxed,0.75,1
Hoodie,Pants,Sandals,Wedding,Snow,35.3,Romantic,0.35,0
T-Shirt,Skirt,Sports Shoes,Date,Clear,12.8,Romantic,0.7,1
T-Shirt,Skirt,Heels,Date,Clear,22.0,Relaxed,0.65,1
Shirt,Pants,Sandals,Wedding,Rainy,16.6,Romantic,1.0,1
Blouse,Shorts,Sports Shoes,Office,Cloudy,36.1,Happy,0.3,0
Hoodie,Pants,Sandals,Party,Snow,34.8,Professional,0.4,0
T-Shirt,Shorts,Heels,Casual,Rainy,5.7,Romantic,0.65,1
T-Shirt,Shorts,Heels,Office,Snow,32.6,Bold,0.0,0
Sweater,Skirt,Sandals,Party,Sunny,28.4,Bold,0.5,0
T-Shirt,Pants,Casual Shoes,Casual,Sunny,5.3,Professional,0.7,1
Coat,Skirt,Sports Shoes,Wedding,Snow,26.1,Relaxed,0.55,1
Coat,Shorts,Casual Shoes,Party,Rainy,33.6,Romantic,0.3,0
T-Shirt,Shorts,Boots,Party,Clear,28.3,Professional,0.55,0
Blouse,Shorts,Boots,Date,Snow,31.1,Relaxed,0.65,1
Sweater,Jeans,Sandals,Casual,Cloudy,6.1,Bold,0.8,1
Jacket,Shorts,Boots,Party,Sunny,27.0,Happy,0.4,0
Shirt,Jeans,Boots,Date,Sunny,25.5,Bold,0.7,1
Coat,Pants,Boots,Wedding,Cloudy,8.0,Relaxed,1.0,1
Coat,Shorts,Sandals,Party,Cloudy,17.0,Relaxed,0.45,0
T-Shirt,Shorts,Heels,Wedding,Sunny,5.1,Bold,0.0,0
Sweater,Shorts,Sports Shoes,Wedding,Cloudy,8.6,Relaxed,0.0,0
Jacket,Jeans,Boots,Party,Rainy,33.1,Bold,0.75,1
Sweater,Skirt,Heels,Date,Clear,36.0,Relaxed,0.4,0
Jacket,Skirt,Boots,Casual,Cloudy,13.9,Happy,0.95,1
Sweater,Jeans,Casual Shoes,Casual,Clear,24.7,Romantic,0.5,0
Jacket,Jeans,Casual Shoes,Party,Snow,5.5,Bold,0.85,1
Jacket,Pants,Heels,Casual,Sunny,30.1,Relaxed,0.4,0
Sweater,Jeans,Heels,Wedding,Rainy,7.0,Professional,0.95,1
Jacket,Jeans,Sandals,Office,Rainy,30.1,Happy,0.4,0
Shirt,Skirt,Boots,Office,Sunny,15.3,Bold,1.0,1
Jacket,Skirt,Casual Shoes,Casual,Sunny,7.8,Bold,0.55,1
Coat,Skirt,Sandals,Wedding,Rainy,33.2,Happy,0.6,1
Sweater,Pants,Sports Shoes,Wedding,Cloudy,32.5,Relaxed,0.1,0
Jacket,Pants,Casual Shoes,Wedding,Cloudy,6.1,Bold,0.9,1
Blouse,Skirt,Boots,Casual,Clear,33.9,Happy,0.6,1
Jacket,Shorts,Boots,Date,Clear,27.8,Romantic,0.55,0
Jacket,Pants,Sandals,Casual,Sunny,31.5,Bold,0.45,0
T-Shirt,Pants,Boots,Casual,Sunny,8.9,Romantic,0.85,1
Hoodie,Jeans,Casual Shoes,Wedding,Snow,8.6,Bold,0.3,0
Blouse,Pants,Boots,Wedding,Cloudy,25.5,Bold,1.0,1
Blouse,Jeans,Sandals,Wedding,Snow,34.1,Happy,0.75,1
Coat,Shorts,Sandals,Party,Rainy,38.5,Bold,0.4,0
Dress,Jeans,Sandals,Casual,Sunny,12.5,Relaxed,0.85,1
Shirt,Pants,Sports Shoes,Date,Sunny,28.3,Bold,0.7,1
Shirt,Pants,Casual Shoes,Office,Clear,31.5,Professional,1.0,1
Blouse,Shorts,Heels,Wedding,Sunny,20.6,Bold,0.7,1
Hoodie,Shorts,Sandals,Wedding,Rainy,29.7,Happy,0.0,0
Hoodie,Jeans,Sports Shoes,Wedding,Cloudy,36.7,Bold,0.0,0
Coat,Pants,Sports Shoes,Casual,Rainy,39.7,Professional,0.45,0
Shirt,Jeans,Sandals,Office,Clear,34.0,Professional,0.95,1
Shirt,Shorts,Boots,Party,Snow,10.2,Relaxed,0.4,0
Dress,Jeans,Heels,Office,Rainy,27.4,Relaxed,0.55,1
Shirt,Shorts,Sandals,Office,Clear,34.0,Bold,0.6,1
Jacket,Jeans,Sandals,Office,Sunny,26.4,Romantic,0.35,0
Jacket,Jeans,Sports Shoes,Casual,Sunny,10.2,Happy,0.8,1
Coat,Pants,Sports Shoes,Wedding,Rainy,7.8,Romantic,0.7,1
Hoodie,Skirt,Sports Shoes,Party,Rainy,38.8,Happy,0.65,1
Jacket,Shorts,Boots,Party,Clear,34.9,Professional,0.2,0
Dress,Skirt,Heels,Office,Snow,24.8,Happy,0.85,1
Jacket,Shorts,Heels,Casual,Sunny,30.1,Bold,0.5,0
T-Shirt,Shorts,Sports Shoes,Date,Sunny,17.7,Romantic,0.8,1
Shirt,Shorts,Sports Shoes,Date,Snow,20.8,Happy,0.4,0
Blouse,Jeans,Heels,Party,Clear,9.0,Romantic,0.7,1
Shirt,Pants,Boots,Wedding,Snow,15.5,Happy,1.0,1
Dress,Pants,Casual Shoes,Casual,Cloudy,11.7,Relaxed,0.75,1
T-Shirt,Jeans,Casual Shoes,Date,Cloudy,17.9,Romantic,0.7,1
Shirt,Shorts,Sports Shoes,Office,Cloudy,17.7,Relaxed,0.1,0
Jacket,Jeans,Heels,Casual,Sunny,38.3,Relaxed,0.55,1
Jacket,Pants,Casual Shoes,Casual,Rainy,36.2,Romantic,0.55,1
Sweater,Shorts,Sports Shoes,Casual,Clear,33.5,Bold,0.6,1
Blouse,Pants,Casual Shoes,Wedding,Snow,15.8,Happy,1.0,1
Jacket,Pants,Boots,Date,Rainy,14.9,Romantic,1.0,1
Hoodie,Jeans,Heels,Casual,Cloudy,6.3,Happy,1.0,1
Blouse,Skirt,Sandals,Office,Cloudy,22.2,Relaxed,0.85,1
Blouse,Pants,Sports Shoes,Office,Clear,31.3,Relaxed,0.65,1
Jacket,Pants,Casual Shoes,Party,Rainy,24.8,Bold,0.85,1
Dress,Shorts,Sandals,Office,Rainy,36.1,Happy,0.0,0
Jacket,Shorts,Sports Shoes,Office,Clear,33.9,Bold,0.0,0
Blouse,Skirt,Boots,Wedding,Sunny,34.6,Relaxed,1.0,1
Blouse,Shorts,Sports Shoes,Party,Rainy,29.0,Happy,0.45,0
Jacket,Pants,Boots,Office,Sunny,39.9,Happy,0.6,1
T-Shirt,Pants,Casual Shoes,Office,Snow,14.4,Relaxed,0.3,0
Hoodie,Shorts,Casual Shoes,Party,Clear,28.9,Romantic,0.4,0
Hoodie,Shorts,Sports Shoes,Wedding,Sunny,13.9,Relaxed,0.0,0
Sweater,Skirt,Sports Shoes,Wedding,Rainy,15.5,Romantic,0.7,1
Hoodie,Skirt,Boots,Office,Rainy,11.4,Bold,0.9,1
Jacket,Skirt,Heels,Office,Clear,27.2,Professional,0.7,1
Coat,Jeans,Sports Shoes,Office,Sunny,31.5,Happy,0.05,0
Sweater,Pants,Boots,Wedding,Rainy,34.3,Relaxed,1.0,1
Shirt,Pants,Sandals,Party,Snow,7.7,Romantic,0.35,0
Sweater,Pants,Heels,Wedding,Rainy,37.4,Romantic,1.0,1
Shirt,Jeans,Sandals,Date,Snow,32.5,Professional,0.55,0
Sweater,Pants,Sandals,Party,Clear,30.8,Happy,0.45,0
Blouse,Jeans,Sandals,Office,Cloudy,23.6,Happy,0.75,1
Blouse,Shorts,Boots,Party,Cloudy,7.7,Professional,0.3,0
